tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Date
328,34:01.9,39:30.1,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,41547,Customer,1970,0,Apr-21
864,34:07.8,48:32.7,3678,Fairmount Ave,40.72572614,-74.07195926,3639,Harborside,40.7192517,-74.034234,42153,Customer,1970,0,Apr-21
319,34:17.0,39:36.9,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,41206,Customer,1970,0,Apr-21
328,34:44.7,40:13.7,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,42105,Customer,1970,0,Apr-21
224,36:14.8,39:59.0,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,41002,Customer,1970,0,Apr-21
2341,37:30.1,16:32.1,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,43467,Subscriber,1986,1,Apr-21
308,39:47.0,44:55.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,39598,Customer,1970,0,Apr-21
276,40:04.0,44:40.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3185,City Hall,40.7177325,-74.043845,33334,Subscriber,1953,2,Apr-21
510,40:38.9,49:09.3,3481,York St,40.71649,-74.04105,3192,Liberty Light Rail,40.7112423,-74.0557013,35358,Subscriber,1957,1,Apr-21
303,44:09.6,49:12.7,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,42949,Customer,1970,0,Apr-21
765,46:27.1,59:13.0,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,44852,Customer,1970,0,Apr-21
320,51:26.8,56:47.1,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,46487,Customer,1970,0,Apr-21
422,52:00.6,59:03.3,3276,Marin Light Rail,40.71458404,-74.04281706,3202,Newport PATH,40.7272235,-74.0337589,42473,Customer,1970,0,Apr-21
179,54:47.0,57:46.1,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,44721,Customer,1970,0,Apr-21
1062,55:16.5,12:59.1,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,46141,Subscriber,1970,2,Apr-21
708,55:41.3,07:29.8,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.7308971,-74.06391263,45091,Customer,1970,0,Apr-21
518,56:32.7,05:11.7,3203,Hamilton Park,40.72759597,-74.04424731,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,33961,Customer,1970,0,Apr-21
141,57:35.9,59:57.4,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,43629,Customer,1970,0,Apr-21
506,00:57.2,09:23.9,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3207,Oakland Ave,40.7376037,-74.0524783,44398,Customer,1970,0,Apr-21
417,01:18.3,08:15.7,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,35097,Subscriber,1987,1,Apr-21
695,02:13.7,13:48.8,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3211,Newark Ave,40.72152515,-74.04630454,48739,Customer,1970,0,Apr-21
317,03:37.7,08:55.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3681,Grand St,40.71517768,-74.03768331,42419,Customer,1970,0,Apr-21
493,04:39.1,12:53.0,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,42473,Subscriber,1968,1,Apr-21
157,10:15.2,12:52.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,44721,Customer,1970,0,Apr-21
705,10:30.3,22:16.2,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,45138,Customer,1970,0,Apr-21
392,10:32.8,17:04.9,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,40488,Customer,1970,0,Apr-21
227,11:31.6,15:19.0,3205,JC Medical Center,40.71653978,-74.04963791,3185,City Hall,40.7177325,-74.043845,41547,Customer,1970,0,Apr-21
335,13:57.3,19:33.1,3481,York St,40.71649,-74.04105,3205,JC Medical Center,40.71653978,-74.04963791,41336,Customer,1970,0,Apr-21
453,15:30.0,23:03.1,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,41206,Customer,1970,0,Apr-21
571,20:04.4,29:36.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3192,Liberty Light Rail,40.7112423,-74.0557013,39147,Customer,1970,0,Apr-21
1086,22:34.5,40:40.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,45350,Subscriber,1982,1,Apr-21
120,24:23.6,26:24.3,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42453,Customer,1970,0,Apr-21
373,26:20.7,32:34.5,3273,Manila & 1st,40.72165072,-74.04288411,3199,Newport Pkwy,40.7287448,-74.0321082,42105,Customer,1970,0,Apr-21
261,27:42.2,32:04.1,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,28639,Customer,1970,0,Apr-21
745,29:46.7,42:12.4,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,48740,Customer,1970,0,Apr-21
650,30:06.0,40:56.1,3199,Newport Pkwy,40.7287448,-74.0321082,3481,York St,40.71649,-74.04105,27102,Customer,1970,0,Apr-21
1010,31:48.1,48:39.0,3273,Manila & 1st,40.72165072,-74.04288411,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42331,Customer,1970,0,Apr-21
355,32:53.8,38:49.4,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31794,Subscriber,1987,1,Apr-21
332,33:50.3,39:22.5,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,40306,Customer,1970,0,Apr-21
505,38:18.5,46:44.5,3202,Newport PATH,40.7272235,-74.0337589,3186,Grove St PATH,40.71958612,-74.04311746,48911,Customer,1970,0,Apr-21
